11096253504,2018-08-28 23:45:00,0.4139,0.1390,0.1080,0.1668,0.0930,0.0300,0.0270,0.0360,0.4242,0.1422,0.1114,0.1706,0.9756,0.9778,0.9699,0.9774
648169759,2018-08-28 23:45:00,0.8918,0.2466,0.3401,0.3051,0.0820,-0.0140,0.0420,0.0210,0.8956,0.2468,0.3427,0.3059,0.9958,0.9984,0.9923,0.9976
648163814,2018-08-28 23:45:00,0.8729,0.2392,0.3308,0.3030,0.3140,-0.0970,0.1080,0.1080,0.9277,0.2555,0.3480,0.3216,0.9409,0.9265,0.9505,0.9421
648160969,2018-08-28 23:45:00,1.0766,0.5125,0.2915,0.2725,0.2510,-0.1100,0.0750,0.0650,1.1054,0.5222,0.3010,0.2801,0.9738,0.9778,0.9681,0.9724
648163868,2018-08-28 23:45:00,0.8321,0.2258,0.3443,0.2621,0.1300,0.0570,0.0400,0.0210,0.8422,0.2329,0.3466,0.2629,0.9879,0.9699,0.9934,0.9968
648160898,2018-08-28 23:45:00,0.4917,0.2171,0.1570,0.1175,0.2280,0.1320,0.0330,0.0490,0.5420,0.2541,0.1605,0.1273,0.9069,0.8545,0.9781,0.9219
648164041,2018-08-28 23:45:00,0.8651,0.2598,0.2962,0.3091,0.1230,-0.0350,0.0440,0.0440,0.8738,0.2615,0.2995,0.3122,0.9900,0.9912,0.9890,0.9900
648167266,2018-08-28 23:45:00,1.0078,0.3393,0.3304,0.3381,0.2800,0.1000,0.0840,0.0960,1.0459,0.3538,0.3409,0.3514,0.9636,0.9593,0.9694,0.9622
648164535,2018-08-28 23:30:00,1.0484,0.3898,0.3373,0.3214,0.1250,0.0510,0.0270,0.0430,1.0559,0.3931,0.3384,0.3242,0.9930,0.9914,0.9968,0.9910
648164535,2018-08-28 23:45:00,1.0557,0.3461,0.3333,0.3763,0.1190,0.0420,0.0300,0.0460,1.0624,0.3486,0.3346,0.3791,0.9937,0.9925,0.9960,0.9928
648166566,2018-08-28 23:45:00,0.5048,0.1764,0.2165,0.1118,0.0620,-0.0220,0.0280,0.0120,0.5085,0.1790,0.2183,0.1125,0.9926,0.9925,0.9919,0.9942
648160917,2018-08-28 23:45:00,0.7081,0.1689,0.3000,0.2393,0.1340,-0.0280,0.0540,0.0520,0.7207,0.1700,0.3048,0.2449,0.9825,0.9869,0.9842,0.9774
648164024,2018-08-28 23:45:00,0.0582,0.0185,0.0163,0.0234,0.0050,0.0030,0.0010,0.0000,0.0585,0.0187,0.0164,0.0234,0.9956,0.9880,0.9980,1.0000
648163520,2018-08-28 23:45:00,0.8134,0.3065,0.2714,0.2356,0.1040,-0.0140,0.0250,0.0500,0.8201,0.3066,0.2726,0.2408,0.9919,0.9989,0.9959,0.9785
648165263,2018-08-28 23:45:00,0.2374,0.0823,0.0938,0.0613,0.0340,0.0120,0.0100,0.0120,0.2398,0.0832,0.0943,0.0624,0.9897,0.9900,0.9943,0.9823
648164039,2018-08-28 23:45:00,0.8489,0.3455,0.2559,0.2475,0.2730,-0.1000,0.0910,0.0820,0.8917,0.3570,0.2716,0.2607,0.9519,0.9608,0.9426,0.9494
648162526,2018-08-28 23:45:00,0.2635,0.1112,0.0547,0.0976,0.0370,-0.0120,0.0020,0.0200,0.2661,0.1117,0.0547,0.0996,0.9901,0.9943,0.9993,0.9803
648166301,2018-08-28 23:45:00,0.1824,0.0372,0.0421,0.1030,0.1240,0.0600,0.0100,0.0270,0.2206,0.0706,0.0433,0.1065,0.8280,0.5284,0.9715,0.9677
648162225,2018-08-28 23:45:00,0.5146,0.1734,0.1897,0.1515,0.1850,0.0620,0.0620,0.0600,0.5468,0.1842,0.1995,0.1630,0.9413,0.9421,0.9505,0.9291
648165950,2018-08-28 23:45:00,0.9692,0.3318,0.3296,0.3078,0.2550,-0.0760,0.1050,0.0720,1.0022,0.3391,0.3459,0.3161,0.9671,0.9748,0.9532,0.9740
648168429,2018-08-28 23:45:00,0.9128,0.2941,0.3509,0.2678,0.2320,-0.0800,0.0890,0.0620,0.9418,0.3023,0.3620,0.2749,0.9693,0.9646,0.9694,0.9744
648160805,2018-08-28 23:45:00,0.0888,0.0301,0.0407,0.0181,0.0160,0.0030,0.0090,0.0040,0.0902,0.0302,0.0417,0.0185,0.9833,0.9965,0.9785,0.9728
648165631,2018-08-28 23:45:00,0.7835,0.3608,0.2152,0.2075,0.0440,0.0210,0.0170,0.0030,0.7848,0.3615,0.2159,0.2075,0.9984,0.9983,0.9971,0.9999
648163579,2018-08-28 23:45:00,1.1548,0.3175,0.4762,0.3611,0.1800,0.0550,0.0860,0.0330,1.1687,0.3222,0.4839,0.3626,0.9881,0.9851,0.9842,0.9959
648169700,2018-08-28 23:45:00,0.5243,0.1079,0.1818,0.2347,0.1220,-0.0310,0.0380,0.0520,0.5383,0.1120,0.1857,0.2404,0.9740,0.9603,0.9792,0.9763
648169646,2018-08-28 23:45:00,1.4421,0.5040,0.5297,0.4083,0.2580,-0.0910,0.0940,0.0730,1.4650,0.5103,0.5380,0.4148,0.9844,0.9842,0.9845,0.9845
